"ID,N,4,0","WIDTH,N,17,15","HEIGHT,N,17,15","AREA,N,17,15","PERIMETER,N,17,15"
465,"0,048116","0,05782","0,002782","0,211871"
466,"0,083293","0,111596","0,009295","0,389777"
467,"0,079047","0,073791","0,005833","0,305676"
468,"0,059437","0,068332","0,004061","0,255539"
469,"0,08774","0,090975","0,007982","0,357431"
470,"0,026282","0,030931","0,000813","0,114426"
471,"0,043668","0,054585","0,002384","0,196506"
472,"0,031134","0,022238","0,000692","0,106744"
473,"0,025877","0,025069","0,000649","0,101892"
474,"0,026686","0,01961","0,000523","0,092592"
475,"0,021632","0,017487","0,000378","0,078238"
476,"0,013343","0,013747","0,000183","0,054181"
477,"0,077025","0,093199","0,007179","0,340449"
478,"0,029314","0,022845","0,00067","0,104318"
479,"0,030931","0,028101","0,000869","0,118065"
480,"0,056","0,04104","0,002298","0,19408"
481,"0,01961","0,028303","0,000555","0,095827"
482,"0,017791","0,021834","0,000388","0,079249"
483,"0,017184","0,019004","0,000327","0,072376"
484,"0,017993","0,016173","0,000291","0,068332"
485,"0,029921","0,038412","0,001149","0,136665"
486,"0,038614","0,044679","0,001725","0,166585"
487,"0,0093","0,011321","0,000105","0,041242"
488,"0,052968","0,06065","0,003212","0,227235"
489,"0,099668","0,051957","0,005178","0,30325"
490,"0,06813","0,061459","0,004187","0,259178"
491,"0,086527","0,11948","0,010338","0,412016"
492,"0,013343","0,016375","0,000218","0,059437"
493,"0,012939","0,012332","0,00016","0,050542"
494,"0,103307","0,090166","0,009315","0,386947"
495,"0,03639","0,029718","0,001081","0,132217"
496,"0,048924","0,060246","0,002947","0,21834"
497,"0,076823","0,109979","0,008449","0,373604"
498,"0,042859","0,053372","0,002287","0,192463"
499,"0,03356","0,029921","0,001004","0,126961"
500,"0,043668","0,040029","0,001748","0,167394"
501,"0,08208","0,058628","0,004812","0,281416"
502,"0,041646","0,07743","0,003225","0,238152"
503,"0,027899","0,052563","0,001466","0,160925"
504,"0,063885","0,031134","0,001989","0,190037"
505,"0,046498","0,05135","0,002388","0,195697"
506,"0,054585","0,048318","0,002637","0,205806"
507,"0,049531","0,057011","0,002824","0,213084"
508,"0,035986","0,033357","0,0012","0,138686"
509,"0,028303","0,050137","0,001419","0,156881"
510,"0,027495","0,018195","0,0005","0,091379"
511,"0,026282","0,022238","0,000584","0,09704"
512,"0,074397","0,074802","0,005565","0,298398"
513,"0,011523","0,014556","0,000168","0,052159"
514,"0,013949","0,017588","0,000245","0,063076"
515,"0,023451","0,024462","0,000574","0,095827"
516,"0,139495","0,127365","0,017767","0,53372"
517,"0,044477","0,03356","0,001493","0,156073"
518,"0,116448","0,120491","0,014031","0,473879"
519,"0,017791","0,023451","0,000417","0,082484"
520,"0,018397","0,017386","0,00032","0,071567"
521,"0,022238","0,026686","0,000593","0,097849"
522,"0,23047","0,127769","0,029447","0,716479"
523,"0,088953","0,086527","0,007697","0,350961"
524,"0,077228","0,058224","0,004497","0,270903"
525,"0,048924","0,04852","0,002374","0,194889"
526,"0,125343","0,112809","0,01414","0,476305"
527,"0,121704","0,155668","0,018946","0,554745"
528,"0,089358","0,115639","0,010333","0,409994"
529,"0,067928","0,056202","0,003818","0,248261"
530,"0,069141","0,055394","0,00383","0,249069"
531,"0,061054","0,068737","0,004197","0,259582"
532,"0,078441","0,07278","0,005709","0,302441"
533,"0,088953","0,098657","0,008776","0,375221"
534,"0,126152","0,132621","0,01673","0,517547"
535,"0,051755","0,056809","0,00294","0,217127"
536,"0,032953","0,034166","0,001126","0,134239"
537,"0,055394","0,052968","0,002934","0,216723"
538,"0,063885","0,06348","0,004055","0,25473"
539,"0,050946","0,067119","0,003419","0,236131"
540,"0,041242","0,032347","0,001334","0,147177"
541,"0,027292","0,020014","0,000546","0,094614"
542,"0,070354","0,069141","0,004864","0,27899"
543,"0,023451","0,019206","0,00045","0,085314"
544,"0,042657","0,050744","0,002165","0,186802"
545,"0,044679","0,039422","0,001761","0,168203"
546,"0,04569","0,039625","0,00181","0,170629"
547,"0,029314","0,029314","0,000859","0,117257"
548,"0,028303","0,036592","0,001036","0,129791"
549,"0,026888","0,031538","0,000848","0,116852"
550,"0,033155","0,026888","0,000891","0,120087"
551,"0,019206","0,023653","0,000454","0,085719"
552,"0,050137","0,03356","0,001683","0,167394"
553,"0,035581","0,038412","0,001367","0,147986"
554,"0,052968","0,046498","0,002463","0,198932"
555,"0,017993","0,017386","0,000313","0,070758"
556,"0,017184","0,018599","0,00032","0,071567"
557,"0,025473","0,045487","0,001159","0,141921"
558,"0,027495","0,021834","0,0006","0,098657"
559,"0,033964","0,050542","0,001717","0,169011"
560,"0,054787","0,066108","0,003622","0,241791"
561,"0,070354","0,059841","0,00421","0,260391"
562,"0,017184","0,015365","0,000264","0,065098"
563,"0,018296","0,015162","0,000277","0,066917"
564,"0,016578","0,016881","0,00028","0,066917"
565,"0,037805","0,027495","0,001039","0,1306"
566,"0,022845","0,020419","0,000466","0,086527"
567,"0,06065","0,049531","0,003004","0,220362"
568,"0,021834","0,023451","0,000512","0,090571"
569,"0,036188","0,024866","0,0009","0,122109"
570,"0,044274","0,062267","0,002757","0,213084"
571,"0,028101","0,028101","0,00079","0,112405"
